BIOSAMPLE GOLD ID,BIOSAMPLE NAME,latitude,longitude,_error
Gb0052226,"Agricultural soil ecosystem from an apple orchard in Wisconsin, USA",NA,NA,could not convert string to float: 'NA'
Gb0057355,Fatty acid contaminated soil microbial communities from from India,NA,NA,could not convert string to float: 'NA'
Gb0071981,METATRANSCRIPTOMICS AND GENOMIC CONTEXT IN MICROBIAL COMMUNITIES INVOLVED IN THE BIOGEOCHEMICAL CYCLES IN MANGROVES,NA,NA,could not convert string to float: 'NA'
Gb0104204,Low and neutral pH soil microbial communities from United Kingdom- Sample CS1,NA,NA,could not convert string to float: 'NA'
Gb0104205,Low and neutral pH soil microbial communities from United Kingdom- Sample CS179,NA,NA,could not convert string to float: 'NA'
Gb0104206,Low and neutral pH soil microbial communities from United Kingdom- Sample CS864,NA,NA,could not convert string to float: 'NA'
Gb0104207,Low and neutral pH soil microbial communities from United Kingdom- Sample CS922,NA,NA,could not convert string to float: 'NA'
Gb0104208,Low and neutral pH soil microbial communities from United Kingdom- Sample CS78,NA,NA,could not convert string to float: 'NA'
Gb0104209,Low and neutral pH soil microbial communities from United Kingdom- Sample CS251,NA,NA,could not convert string to float: 'NA'
Gb0104210,Low and neutral pH soil microbial communities from United Kingdom- Sample CS511,NA,NA,could not convert string to float: 'NA'
Gb0104211,Low and neutral pH soil microbial communities from United Kingdom- Sample CS1053,NA,NA,could not convert string to float: 'NA'
Gb0109417,Dichloromethane enrichment community from Australia - AusDCM,NA,NA,could not convert string to float: 'NA'
Gb0109867,"Soil microbial communities from Barrow, Alaska - NGEE-2011-LCP-A",NA,NA,could not convert string to float: 'NA'
Gb0110035,"Enriched unplanted field soil microbial communities from Goettingen, Germany that are hydrolytic",NA,NA,could not convert string to float: 'NA'
Gb0134903,"Farm soil microbial communities from Tibetan Plateau, China - F1L",NA,NA,could not convert string to float: 'NA'
Gb0134904,"Farm soil microbial communities from Tibetan Plateau, China - F1U",NA,NA,could not convert string to float: 'NA'
Gb0134905,"Farm soil microbial communities from Tibetan Plateau, China - F2L",NA,NA,could not convert string to float: 'NA'
Gb0134906,"Farm soil microbial communities from Tibetan Plateau, China - F3L",NA,NA,could not convert string to float: 'NA'
Gb0134907,"Farm soil microbial communities from Tibetan Plateau, China - F3U",NA,NA,could not convert string to float: 'NA'
Gb0134908,"Farm soil microbial communities from Tibetan Plateau, China - G1L",NA,NA,could not convert string to float: 'NA'
Gb0134909,"Farm soil microbial communities from Tibetan Plateau, China - G1U",NA,NA,could not convert string to float: 'NA'
Gb0134910,"Farm soil microbial communities from Tibetan Plateau, China - G2L",NA,NA,could not convert string to float: 'NA'
Gb0134911,"Farm soil microbial communities from Tibetan Plateau, China - G2U",NA,NA,could not convert string to float: 'NA'
Gb0134912,"Farm soil microbial communities from Tibetan Plateau, China - G3L",NA,NA,could not convert string to float: 'NA'
Gb0134913,"Farm soil microbial communities from Tibetan Plateau, China - G3U",NA,NA,could not convert string to float: 'NA'
Gb0134914,"Farm soil microbial communities from Tibetan Plateau, China - G4L",NA,NA,could not convert string to float: 'NA'
Gb0134915,"Farm soil microbial communities from Tibetan Plateau, China - G4U",NA,NA,could not convert string to float: 'NA'
Gb0134916,"Farm soil microbial communities from Tibetan Plateau, China - G5L",NA,NA,could not convert string to float: 'NA'
Gb0134917,"Farm soil microbial communities from Tibetan Plateau, China - G5U",NA,NA,could not convert string to float: 'NA'
Gb0134918,"Farm soil microbial communities from Tibetan Plateau, China - G6L",NA,NA,could not convert string to float: 'NA'
Gb0134919,"Farm soil microbial communities from Tibetan Plateau, China - G6U",NA,NA,could not convert string to float: 'NA'
Gb0134920,"Farm soil microbial communities from Tibetan Plateau, China - L1L",NA,NA,could not convert string to float: 'NA'
Gb0134921,"Farm soil microbial communities from Tibetan Plateau, China - L1U",NA,NA,could not convert string to float: 'NA'
Gb0137781,"Soil microbial communities from paddy field at Bario Highland, Malaysia - F3F",NA,NA,could not convert string to float: 'NA'
Gb0137800,"Mangrove forest soil sediment microbial communities from Dongzhai Port, Haikou, China - D2-1",NA,NA,could not convert string to float: 'NA'
Gb0137802,"Permafrost microbial communities from Nunavut, Canada - A10_35cm_6M",NA,NA,could not convert string to float: 'NA'
Gb0137803,"Permafrost microbial communities from Nunavut, Canada - A15_35cm_0M",NA,NA,could not convert string to float: 'NA'
Gb0137804,"Permafrost microbial communities from Nunavut, Canada - A15_35cm_18M",NA,NA,could not convert string to float: 'NA'
Gb0137805,"Permafrost microbial communities from Nunavut, Canada - A20_35cm_0M",NA,NA,could not convert string to float: 'NA'
Gb0137806,"Permafrost microbial communities from Nunavut, Canada - A21_35cm_6M",NA,NA,could not convert string to float: 'NA'
Gb0137807,"Permafrost microbial communities from Nunavut, Canada - A23_35cm_12M",NA,NA,could not convert string to float: 'NA'
Gb0137808,"Permafrost microbial communities from Nunavut, Canada - A26_35cm_6M",NA,NA,could not convert string to float: 'NA'
Gb0137809,"Permafrost microbial communities from Nunavut, Canada - A28_35cm_6M",NA,NA,could not convert string to float: 'NA'
Gb0137810,"Permafrost microbial communities from Nunavut, Canada - A3_35cm_0M",NA,NA,could not convert string to float: 'NA'
Gb0137811,"Permafrost microbial communities from Nunavut, Canada - A3_35cm_18M",NA,NA,could not convert string to float: 'NA'
Gb0137812,"Permafrost microbial communities from Nunavut, Canada - A30_35cm_6M",NA,NA,could not convert string to float: 'NA'
