n	r2
Ag_ppm	42336	0.345038528598352
Al_pct	99129	0.370871295718481
As_ppm	104418	0.203148236230083
Au_ppm	37664	0.364305004529466
B_ppm	53937	0.207897481431614
Ba_ppm	149064	0.360260743180935
Be_ppm	115480	0.139843947633341
Bi_ppm	54993	0.167904107235146
Br_ppm	1521	0.392345737708089
C_pct	30254	0.235194568963368
Ca_pct	143307	0.436634981877557
CCO3_pct	11460	0.498223912630248
Cd_ppm	71560	0.250316352120733
Ce_ppm	89114	0.287570721491197
Cl_pct	2555	0.479789494346784
CO2_pct	7776	0.597603477301359
Co_ppm	138616	0.249714305502053
Corg_pct	11060	0.351448301473849
Cr_ppm	147196	0.168006442266594
Cs_ppm	36890	0.411027790924246
Cu_ppm	149203	0.308325360282686
Dy_ppm	4839	0.22402435586852
Er_ppm	4503	0.298120575141382
Eu_ppm	8219	0.444491009701088
F_pct	19576	0.273966074865704
Fe2O3_pct	962	0.578164168964967
Fe_pct	150576	0.271750060688946
FeO_pct	1381	0.498414120343942
Ga_ppm	95440	0.279570814717461
Gd_ppm	5001	0.239786202166323
Ge_ppm	24868	0.657323164335237
Hf_ppm	23103	0.409585762232243
Hg_ppm	74137	0.266921942965148
Ho_ppm	4464	0.233863305723136
I_ppm	1431	0.357189049177461
In_ppm	44774	0.155676830378554
Ir_ppm	45	0.896286963014664
K_pct	107018	0.453941982542656
La_ppm	127853	0.250123325737927
Li_ppm	93932	0.275332338701558
LOI_pct	2237	0.517374576496188
Lu_ppm	5512	0.273359674815338
Mg_pct	150035	0.397536598444822
Mn_pct	149961	0.251777398871241
Mo_ppm	75154	0.255194742978451
Na_pct	106122	0.460990972187759
Nb_ppm	99805	0.171612026607866
Nd_ppm	38622	0.249153297821269
Ni_ppm	144577	0.226825284488118
Os_ppm	NA	NA
P_pct	92279	0.226641404504806
Pb_ppm	145116	0.189137993910847
Pd_ppm	6858	0.433646587403628
Pr_ppm	4450	0.317087627476037
Pt_ppm	8291	0.565933047495425
Rb_ppm	57638	0.456014789783803
Re_ppm	5306	0.504955493191476
Rh_ppm	71	0.720011644524003
Ru_ppm	33	2.22044604925031e-16
S_pct	54946	0.228494437296872
Sb_ppm	77498	0.283450142919944
Sc_ppm	141959	0.296779845943473
Se_ppm	55653	0.274067406299534
Si_pct	18834	0.22737799809743
Sm_ppm	5686	0.32662540239857
Sn_ppm	57748	0.158002790049499
SO4_pct	316	0.870806464061991
Sr_ppm	134528	0.410935776800001
Sulfide_pct	NA	NA
Ta_ppm	22450	0.174710302815201
Tb_ppm	6282	0.328611388056239
Te_ppm	21074	0.605179874955794
Th_ppm	84797	0.253169386927277
Ti_pct	149972	0.156473391444482
Tl_ppm	52794	0.265529714210626
Tm_ppm	4548	0.289996685282679
U_ppm	63924	0.179693314534832
V_ppm	148462	0.237323554896195
W_ppm	54339	0.20666637394944
Y_ppm	143995	0.182524157184756
Yb_ppm	44007	0.119529405680821
Zn_ppm	133422	0.252449256133748
Zr_ppm	91193	0.247358655264626
