n	r2
clay_total	117663	0.203455897625533
silt_total	117663	0.463901466268878
sand_total	117664	0.365569901063619
organic_carbon	134688	0.378866913870055
oc_d	25648	0.189539093040732
total_carbon_ncs	36336	0.304857824088152
total_nitrogen_ncs	63137	0.307375223354883
ph_kcl	13702	0.329592161014178
ph_h2o	103887	0.402227565891285
ph_cacl2	47065	0.398658540614984
sum_of_cations_cec_pH_8_2	60801	0.179500280045473
ecec_base_plus_aluminum	15641	0.217545074337152
total_frag_wt_pct_gt_2_mm_ws	79054	0.170902485148746
bulk_density_oven_dry	26355	0.63287985474342
ca_ext	84539	0.205013685938289
mg_ext	84793	0.144395535880536
na_ext	69551	0.0440711392056427
k_ext	92036	0.0595878934437873
ec_water_extractable	17977	0.057890827746362
